"PAGNUM","PAGFEC","CLICOD","","","","","","","",""
"6596","20190726","225","","","","","","","",""
"6597","20190726","476","","","","","","","",""
"6598","20190729","1679","","","","","","","",""
"6599","20190729","1443","","","","","","","",""
"6600","20190729","1471","","","","","","","",""
"6601","20190729","1573","","","","","","","",""
"6602","20190730","1692","","","","","","","",""
"6603","20190730","1729","","","","","","","",""
"6604","20190730","1623","","","","","","","",""
"6605","20190730","593","","","","","","","",""
"6606","20190731","1238","","","","","","","",""
"6609","20190731","76","","","","","","","",""
"6610","20190731","401","","","","","","","",""
"6611","20190801","1752","","","","","","","",""
"6612","20190801","1471","","","","","","","",""
"6613","20190801","1443","","","","","","","",""
"6614","20190801","1238","","","","","","","",""
"6615","20190801","37","","","","","","","",""
"6616","20190801","1743","","","","","","","",""
"6617","20190801","1729","","","","","","","",""
"6618","20190802","185","","","","","","","",""
"6619","20190802","1756","","","","","","","",""
"6620","20190802","1109","","","","","","","",""
"6621","20190805","78","","","","","","","",""
"6622","20190805","33","","","","","","","",""
"6623","20190805","1539","","","","","","","",""
"6624","20190805","1485","","","","","","","",""
"6625","20190806","1308","","","","","","","",""
"6626","20190806","1758","","","","","","","",""
