"PAGNUM","PAGSEC","PAGTIP","PAGIMP","PAGCHENUM","PAGCHEBAN","PAGCHEEST","PAGOBS","","","","","","","",""
"6201","4","Efectivo","6000","01489564","FRANCES","","","","","","","","","",""
"6201","5","Cheque","6000","01489556","FRANCES","","","","","","","","","",""
"6201","6","Cheque","2000","47880472","CREDICOOP","","","","","","","","","",""
"6201","7","Efectivo","1107.04","","","","","","","","","","","",""
"6202","1","Efectivo","2772.5","","","","","","","","","","","",""
"6203","1","Efectivo","61000","","","","","","","","","","","",""
"6204","1","Deposito","15031.4","","CREDICOOP","","","","","","","","","",""
"6205","1","Deposito","10500","","CREDICOOP","","","","","","","","","",""
"6206","1","Efectivo","5100","","","","","","","","","","","",""
"6207","1","Efectivo","2369.8","","","","","","","","","","","",""
"6208","1","Deposito","7753","","CREDICOOP","","","","","","","","","",""
"6209","1","Cheque","11657.72","50984495","CREDICOOP","","","","","","","","","",""
"6209","2","Efectivo","6401.2","","","","","","","","","","","",""
"6210","1","Efectivo","9305.91","","","","","","","","","","","",""
"6211","1","Efectivo","759.6","","","","","","","","","","","",""
"6212","1","Efectivo","759.6","","","","","","","","","","","",""
"6213","1","Efectivo","759.6","","","","","","","","","","","",""
"6214","1","Efectivo","3978.01","","","","","","","","","","","",""
"6215","1","Cheque","3627","46012675","CREDICOOP","","","","","","","","","",""
"6216","1","Cheque","7088.94","85599290","MACRO","","","","","","","","","",""
"6216","2","Otros","104.03","","RETENCION","","","","","","","","","",""
"6217","1","Efectivo","5674.4","","","","","","","","","","","",""
"6218","1","Efectivo","1365","","","","","","","","","","","",""
"6219","1","Efectivo","4669.57","","","","","","","","","","","",""
"6220","1","Efectivo","2443.09","","","","","","","","","","","",""
"6221","1","Efectivo","4641.52","","","","","","","","","","","",""
"6222","1","Efectivo","8441.63","","","","","","","","","","","",""
"6223","1","Cheque","4114","65767637","PROVINCIA","","","","","","","","","",""
"6224","1","Efectivo","2205.6","","","","","","","","","","","",""
"6225","1","Efectivo","7137","","","","","","","","","","","",""
"6226","1","Cheque","2615.42","59890435","GALICIA","","","","","","","","","",""
"6226","2","Cheque","2615.33","59890436","GALICIA","","","","","","","","","",""
"6227","1","Efectivo","3697.2","","","","","","","","","","","",""
