"PRODCOD","PRODDES","PRODPRE","TIPCOD","PRODSEX","PRODSTO","SUBTIPCOD","PRODSINI","PRODEST","PRODCOM","","","","","","","",""
"1202","DIFUSOR JASMIN 100 ML","175","8","","137","06","0","A","P","","","","","","","",""
"1203","DIFUSOR FLO BLANCA 100 ML","175","8","","109","06","0","A","P","","","","","","","",""
"1204","DIFUSOR FLORAL 100 ML","175","8","","285","06","0","A","P","","","","","","","",""
"1205","DIF. SEDUCTION","175","8","","472","06","0","A","P","","","","","","","",""
"1206","LIMON DIFU 100 ML","175","8","","810","06","0","A","P","","","","","","","",""
"1207","DIF VAINILLA 100 ML","175","8","","113","06","0","A","C","","","","","","","",""
"1208","DIF. MARINA 100 ML","175","8","","929","06","0","A","P","","","","","","","",""
"1209","","175","8","","0","06","0","A","P","","","","","","","",""
"2010","FLORES AMARILLAS","2030","3","","200","A","0","A","P","","","","","","","",""
"BOLSAS","BOLSAS","130","9","","700","BO","0","A","P","","","","","","","",""
"LL","LIMPIA LENTES 50 ML","56","1","","883","LL","0","A","P","","","","","","","",""
"LP","LIMPIA PANTALLAS 200 ML","81","2","","269","LP","0","A","P","","","","","","","",""
"0110","LA VIDA ES BELLA 53 ML","241","I","FEMENINO","529","01","0","A","P","","","","","","","",""
"0111","SI 53 ML","241","I","FEMENINO","191","01","0","A","P","","","","","","","",""
"029","LA VIDA ES BELLA 50 ML","381","F","FEMENINO","478","FF","0","A","P","","","","","","","",""
"030","SI 50 ML","381","F","FEMENINO","293","FF","0","A","P","","","","","","","",""
"B04","","0","L","","0","BO","0","A","P","","","","","","","",""
"199","OCA","1","0","","7487","199","0","A","P","","","","","","","",""
"900","","80","B","","0","900","0","A","P","","","","","","","",""
"901","","80","B","","0","901","0","A","P","","","","","","","",""
"902","","80","B","","0","902","0","A","P","","","","","","","",""
"903","","80","B","","0","903","0","A","P","","","","","","","",""
"E08","ENS NARANJA GENJIBRE 10 M","63","U","","683","ESE","0","A","C","","","","","","","",""
"E09","ESENCIA MAGNOLIA 10 ML","63","U","","948","ESE","0","A","P","","","","","","","",""
"E10","ESEN POME VAINILLA 10 ML","63","U","","244","ESE","0","A","P","","","","","","","",""
"E11","ESEN CIRUELA DURAZNO 10 M","63","U","","403","ESE","0","A","P","","","","","","","",""
"E12","ESENCIA NAG CHAMPA 10 ML","63","U","","734","ESE","0","A","P","","","","","","","",""
"E13","ESENCIA PAPAYA 10 ML","63","U","","931","ESE","0","A","P","","","","","","","",""
"E15","ESEN,LIMON 10 ML","63","U","","875","ESE","0","A","P","","","","","","","",""
"E16","ESENCIA FRUTOS ROJOS 10 M","63","U","","943","ESE","0","A","P","","","","","","","",""
"E17","ESEN,ALMENDRA 10 ML","63","U","","949","ESE","0","A","P","","","","","","","",""
"E18","ESENCIA BAMBU 10 ML","63","U","","951","ESE","0","A","P","","","","","","","",""
"E19","ESEN COCO Y VAINI 10 ML","63","U","","686","ESE","0","A","P","","","","","","","",""
"E20","ESENCIA JAZMIN 10 ML","63","U","","923","ESE","0","A","P","","","","","","","",""
"A04","","0","T","","0","ESP","0","I","P","","","","","","","",""
"A05","","0","T","","0","ESP","0","I","P","","","","","","","",""
"A06","","0","T","","0","ESP","0","I","P","","","","","","","",""
"A07","","0","T","","0","ESP","0","I","P","","","","","","","",""
"A08","","0","T","","0","ESP","0","I","P","","","","","","","",""
"A09","","0","T","","0","ESP","0","I","P","","","","","","","",""
"E21","","63","U","","0","ESE","0","A","P","","","","","","","",""
"JX5","JABON LIQUIDO 5 LITROS","942","R","","485","JX5","0","A","P","","","","","","","",""
"904","","80","B","","0","904","0","A","P","","","","","","","",""
"905","","80","B","","0","905","0","A","P","","","","","","","",""
"97","NAQ CHAMPA PERF 260 ML","166","H","","804","H","0","A","P","","","","","","","",""
"98","","166","H","","0","H","0","A","P","","","","","","","",""
"99","SEDUCTION PERF 260 ML","166","H","","140","H","0","A","P","","","","","","","",""
"100","LINA PERFUMINA 260 ML","166","H","","495","H","0","A","P","","","","","","","",""
"101","BUBBLEGUM PERFUMINA 260 M","166","H","","476","H","0","A","P","","","","","","","",""
"102","LAVANDA PERFUMINA 260 ML","166","H","","213","H","0","A","P","","","","","","","",""
"103","JASMIN 260 ML","166","H","","145","H","0","A","P","","","","","","","",""
"104","NARA DULCE PERF 260 ML","166","H","","196","H","0","A","P","","","","","","","",""
"105","NAR JENG PERFUM 260 ML","166","H","","173","H","0","A","P","","","","","","","",""
"1210","SEDUCTIOM 100 ML","175","8","","906","06","0","A","P","","","","","","","",""
"106","","166","H","","0","H","0","A","P","","","","","","","",""
"107","","166","H","","0","H","0","A","P","","","","","","","",""
"108","VAIN Y CANE PERF 260 ML","166","H","","485","H","0","A","P","","","","","","","",""
"109","","166","H","","0","H","0","A","P","","","","","","","",""
"110","BAMBU PERFUMINA 260 ML","166","H","","865","H","0","A","P","","","","","","","",""
"111","FLORES AMARIL PERF 260 ML","166","H","","909","H","0","A","P","","","","","","","",""
"112","PAPAYA PERFUMINA 260 ML","166","H","","279","H","0","A","P","","","","","","","",""
