"AJUNUM","AJUFEC","PRODCOD","AJUCAN","AJUOBS","","","","","","","",""
"726","20130626","79","50","","","","","","","","",""
"728","20130626","81","50","","","","","","","","",""
"729","20130626","82","50","","","","","","","","",""
"731","20130626","85","50","","","","","","","","",""
"732","20130626","86","50","","","","","","","","",""
"734","20130626","87","20","","","","","","","","",""
"735","20130626","88","50","","","","","","","","",""
"736","20130626","89","50","","","","","","","","",""
"739","20130627","410","50","","","","","","","","",""
"741","20130628","E152","1","","","","","","","","",""
"742","20130628","E155","1","","","","","","","","",""
"743","20130628","E156","1","","","","","","","","",""
"745","20130701","099","50","","","","","","","","",""
"746","20130701","10","50","","","","","","","","",""
"748","20130701","020","100","","","","","","","","",""
"749","20130701","P102","2","","","","","","","","",""
"750","20130701","E150","50","","","","","","","","",""
"757","20130702","05","100","","","","","","","","",""
"759","20130703","18","100","","","","","","","","",""
"760","20130703","33","100","","","","","","","","",""
"761","20130703","33","-50","","","","","","","","",""
"763","20130703","33","-7","","","","","","","","",""
"765","20130703","411","2","","","","","","","","",""
"767","20130703","E151","2","","","","","","","","",""
"768","20130703","E152","2","","","","","","","","",""
"769","20130703","E153","2","","","","","","","","",""
"770","20130703","E154","2","","","","","","","","",""
"771","20130703","E155","2","","","","","","","","",""
"772","20130703","E156","2","","","","","","","","",""
"773","20130703","E157","2","","","","","","","","",""
"775","20130703","02","50","","","","","","","","",""
"777","20130704","411","100","","","","","","","","",""
"779","20130704","83","-1","","","","","","","","",""
"781","20130704","083","100","","","","","","","","",""
"782","20130704","401","100","","","","","","","","",""
"783","20130704","402","100","","","","","","","","",""
"784","20130704","412","100","","","","","","","","",""
"786","20130705","16","100","","","","","","","","",""
"788","20130705","408","100","","","","","","","","",""
"789","20130705","21","100","","","","","","","","",""
"791","20130705","409","100","","","","","","","","",""
"792","20130705","P102","1","","","","","","","","",""
"793","20130705","E156","1","","","","","","","","",""
"795","20130705","086","100","","","","","","","","",""
"797","20130705","414","100","","","","","","","","",""
"799","20130705","501","6","","","","","","","","",""
"801","20130705","08","1","","","","","","","","",""
"802","20130705","28","2","","","","","","","","",""
"803","20130705","021","1","","","","","","","","",""
"805","20130705","081","100","","","","","","","","",""
"807","20130705","08","1","","","","","","","","",""
"808","20130705","28","3","","","","","","","","",""
"809","20130705","10","3","","","","","","","","",""
"811","20130708","091","100","","","","","","","","",""
"814","20130710","08","100","","","","","","","","",""
"815","20130710","10","100","","","","","","","","",""
"816","20130710","021","100","","","","","","","","",""
"817","20130710","28","100","","","","","","","","",""
"819","20130710","099","100","","","","","","","","",""
"822","20130710","080","100","","","","","","","","",""
"823","20130710","410","100","","","","","","","","",""
"825","20130710","0100","100","","","","","","","","",""
"826","20130710","403","100","","","","","","","","",""
"827","20130710","404","100","","","","","","","","",""
"828","20130710","413","100","","","","","","","","",""
"830","20130711","0103","100","","","","","","","","",""
"831","20130711","407","100","","","","","","","","",""
"834","20130712","78","100","","","","","","","","",""
"836","20130712","0105","100","","","","","","","","",""
"840","20130712","414","-11","","","","","","","","",""
"842","20130712","E203","-1","","","","","","","","",""
"845","20130715","083","100","","","","","","","","",""
"848","20130715","07","100","","","","","","","","",""
"849","20130715","14","100","","","","","","","","",""
"852","20130716","418","16","","","","","","","","",""
"854","20130716","089","100","","","","","","","","",""
"856","20130716","P102","10","","","","","","","","",""
"858","20130716","E155","30","","","","","","","","",""
"859","20130716","E157","45","","","","","","","","",""
"863","20130717","P100","2","","","","","","","","",""
"864","20130717","P101","2","","","","","","","","",""
"865","20130717","P103","1","","","","","","","","",""
"868","20130717","E154","2","","","","","","","","",""
"871","20130718","085","100","","","","","","","","",""
"872","20130718","P100","1","","","","","","","","",""
"873","20130718","E151","1","","","","","","","","",""
"874","20130718","E153","1","","","","","","","","",""
"875","20130718","E156","1","","","","","","","","",""
"877","20130718","401","4","","","","","","","","",""
"884","20130718","022","100","","","","","","","","",""
"885","20130718","023","100","","","","","","","","",""
"887","20130719","0104","100","","","","","","","","",""
"888","20130719","401","100","","","","","","","","",""
"890","20130719","01","100","","","","","","","","",""
