"REMNUM","PRODCOD","REMCAN","REMPRE","","","","","","","",""
"8582","191","3","76.8","","","","","","","",""
"8582","192","3","76.8","","","","","","","",""
"8582","193","1","76.8","","","","","","","",""
"8582","194","3","76.8","","","","","","","",""
"8582","195","2","76.8","","","","","","","",""
"8582","1950","1","57.3","","","","","","","",""
"8582","1951","1","57.3","","","","","","","",""
"8582","1953","2","57.3","","","","","","","",""
"8582","401","1","109.5","","","","","","","",""
"8582","402","1","109.5","","","","","","","",""
"8582","407","1","109.5","","","","","","","",""
"8582","408","1","109.5","","","","","","","",""
"8582","412","1","109.5","","","","","","","",""
"8582","413","1","109.5","","","","","","","",""
"8582","414","1","109.5","","","","","","","",""
"8582","419","1","109.5","","","","","","","",""
"8582","422","1","109.5","","","","","","","",""
"8582","424","1","109.5","","","","","","","",""
"8582","72","2","76.8","","","","","","","",""
"8582","74","1","76.8","","","","","","","",""
"8582","75","2","76.8","","","","","","","",""
"8582","76","2","76.8","","","","","","","",""
"8582","78","1","76.8","","","","","","","",""
"8582","79","1","76.8","","","","","","","",""
"8582","82","2","76.8","","","","","","","",""
"8582","86","1","76.8","","","","","","","",""
"8582","91","2","76.8","","","","","","","",""
"8582","92","1","76.8","","","","","","","",""
"8582","97","1","76.8","","","","","","","",""
"8582","99","2","76.8","","","","","","","",""
"8582","J01","2","49.5","","","","","","","",""
"8582","J02","4","49.5","","","","","","","",""
"8582","J03","2","49.5","","","","","","","",""
"8582","J04","2","49.5","","","","","","","",""
"8582","J05","2","49.5","","","","","","","",""
"8582","J06","2","49.5","","","","","","","",""
"8582","J07","2","49.5","","","","","","","",""
"8582","SB","1","52","","","","","","","",""
"8582","SL","1","52","","","","","","","",""
"8582","SV","1","52","","","","","","","",""
"8582","63","2","59.5","","","","","","","",""
"8583","661","2","73","","","","","","","",""
"8583","662","2","73","","","","","","","",""
"8583","663","1","73","","","","","","","",""
"8583","666","2","73","","","","","","","",""
"8583","667","2","73","","","","","","","",""
"8583","668","2","73","","","","","","","",""
"8583","669","2","73","","","","","","","",""
"8583","670","2","73","","","","","","","",""
"8583","672","2","73","","","","","","","",""
"8584","0100","1","109.5","","","","","","","",""
"8584","092","1","109.5","","","","","","","",""
"8584","095","1","109.5","","","","","","","",""
"8584","104","3","76.8","","","","","","","",""
"8584","105","3","76.8","","","","","","","",""
"8584","112","3","76.8","","","","","","","",""
"8584","115","3","76.8","","","","","","","",""
"8584","123","3","76.8","","","","","","","",""
"8584","124","3","76.8","","","","","","","",""
"8584","1900","2","45.2","","","","","","","",""
"8584","1901","2","45.2","","","","","","","",""
"8584","1902","2","45.2","","","","","","","",""
"8584","1903","1","45.2","","","","","","","",""
"8584","1904","1","45.2","","","","","","","",""
"8584","1905","1","45.2","","","","","","","",""
"8584","194","3","76.8","","","","","","","",""
"8584","195","3","76.8","","","","","","","",""
"8584","3000","1","46.7","","","","","","","",""
"8584","3001","1","46.7","","","","","","","",""
"8584","3002","1","46.7","","","","","","","",""
"8584","3003","1","46.7","","","","","","","",""
"8584","413","1","109.5","","","","","","","",""
"8584","76","3","76.8","","","","","","","",""
"8584","82","3","76.8","","","","","","","",""
"8584","SC","2","52","","","","","","","",""
"8584","SL","2","52","","","","","","","",""
"8584","SV","2","52","","","","","","","",""
"8584","198","1","766.07","","","","","","","",""
"8585","0103","2","85.41","","","","","","","",""
"8585","0116","2","85.41","","","","","","","",""
"8585","116","3","59.9","","","","","","","",""
"8585","120","1","59.9","","","","","","","",""
"8585","1204","3","76.99","","","","","","","",""
"8585","1215","3","76.99","","","","","","","",""
"8585","1216","1","76.99","","","","","","","",""
"8585","413","2","85.41","","","","","","","",""
"8585","E10","10","19.97","","","","","","","",""
"8585","JX5","2","315.36","","","","","","","",""
"8586","653","6","67.55","","","","","","","",""
"8586","656","6","67.55","","","","","","","",""
"8586","662","6","67.55","","","","","","","",""
"8587","108","1","59.9","","","","","","","",""
"8587","1252","2","76.99","","","","","","","",""
"8587","1254","4","76.99","","","","","","","",""
"8587","1255","2","76.99","","","","","","","",""
"8587","193","2","59.9","","","","","","","",""
"8587","194","3","59.9","","","","","","","",""
"8587","72","3","59.9","","","","","","","",""
"8587","78","5","59.9","","","","","","","",""
"8588","650","6","67.55","","","","","","","",""
"8588","656","6","67.55","","","","","","","",""
"8589","100","2","76.8","","","","","","","",""
"8589","108","2","76.8","","","","","","","",""
"8589","110","2","76.8","","","","","","","",""
"8589","111","2","76.8","","","","","","","",""
"8589","112","2","76.8","","","","","","","",""
"8589","114","2","76.8","","","","","","","",""
"8589","120","2","76.8","","","","","","","",""
"8589","121","1","76.8","","","","","","","",""
"8589","122","1","76.8","","","","","","","",""
"8589","123","2","76.8","","","","","","","",""
"8589","75","2","76.8","","","","","","","",""
"8589","78","2","76.8","","","","","","","",""
"8589","79","2","76.8","","","","","","","",""
"8589","82","2","76.8","","","","","","","",""
"8589","E02","4","25.6","","","","","","","",""
"8589","E09","2","25.6","","","","","","","",""
"8589","E10","4","25.6","","","","","","","",""
"8589","E19","2","25.6","","","","","","","",""
"8589","LL","6","27.3","","","","","","","",""
"8590","653","6","73","","","","","","","",""
"8590","672","4","73","","","","","","","",""
"8590","675","1","73","","","","","","","",""
"8591","0104","3","96.36","","","","","","","",""
"8591","0105","3","96.36","","","","","","","",""
"8591","081","6","96.36","","","","","","","",""
"8591","083","8","96.36","","","","","","","",""
"8591","089","3","96.36","","","","","","","",""
"8591","090","3","96.36","","","","","","","",""
"8591","111","3","67.58","","","","","","","",""
"8591","114","6","67.58","","","","","","","",""
"8591","195","3","67.58","","","","","","","",""
"8591","196","6","67.58","","","","","","","",""
"8591","407","3","96.36","","","","","","","",""
"8591","411","3","96.36","","","","","","","",""
"8591","413","8","96.36","","","","","","","",""
"8591","422","3","96.36","","","","","","","",""
"8591","423","3","96.36","","","","","","","",""
"8591","43","1","164.12","","","","","","","",""
"8591","75","3","67.58","","","","","","","",""
"8591","S01","28","19.8","","","","","","","",""
"8592","654","1","68.62","","","","","","","",""
"8592","658","1","68.62","","","","","","","",""
"8592","660","1","68.62","","","","","","","",""
"8593","0106","4","119.35","","","","","","","",""
"8593","0117","4","119.35","","","","","","","",""
"8593","083","4","119.35","","","","","","","",""
"8593","092","4","119.35","","","","","","","",""
"8593","198","1","373.13","","","","","","","",""
"8593","23","4","203.5","","","","","","","",""
"8593","28","4","203.5","","","","","","","",""
"8593","415","4","119.35","","","","","","","",""
"8593","416","4","119.35","","","","","","","",""
"8593","425","4","119.35","","","","","","","",""
"8593","E300","2","177.7","","","","","","","",""
"8593","E301","3","177.7","","","","","","","",""
"8593","E305","3","177.7","","","","","","","",""
"8593","E306","2","177.7","","","","","","","",""
"8593","LL","6","29.8","","","","","","","",""
"8594","2002","6","896.85","","","","","","","",""
"8594","S03","3","23.15","","","","","","","",""
"8594","S04","6","23.15","","","","","","","",""
"8594","S05","6","23.15","","","","","","","",""
"8594","S06","2","23.15","","","","","","","",""
"8594","S07","1","23.15","","","","","","","",""
"8595","650","7","73","","","","","","","",""
"8595","651","2","73","","","","","","","",""
"8595","654","2","73","","","","","","","",""
"8595","657","6","73","","","","","","","",""
"8595","661","5","73","","","","","","","",""
"8595","662","6","73","","","","","","","",""
"8595","663","6","73","","","","","","","",""
"8595","666","2","73","","","","","","","",""
"8595","669","6","73","","","","","","","",""
"8595","670","6","73","","","","","","","",""
"8595","671","2","73","","","","","","","",""
"8595","672","3","73","","","","","","","",""
"8595","674","12","73","","","","","","","",""
"8596","1201","2","76.99","","","","","","","",""
"8596","1208","2","76.99","","","","","","","",""
"8596","1210","3","76.99","","","","","","","",""
"8596","1216","2","76.99","","","","","","","",""
"8596","2002","3","627.84","","","","","","","",""
"8596","47","2","145.47","","","","","","","",""
"8597","659","6","67.55","","","","","","","",""
"8597","667","6","67.55","","","","","","","",""
"8597","669","6","67.55","","","","","","","",""
"8598","2002","2","627.84","","","","","","","",""
"8599","650","6","67.55","","","","","","","",""
"8600","1901","6","49.3","","","","","","","",""
"8600","1902","6","49.3","","","","","","","",""
"8600","193","6","83.7","","","","","","","",""
"8600","195","6","83.7","","","","","","","",""
"8600","197","6","83.7","","","","","","","",""
