"REMNUM","REMFEC","USUCOD","ESTCOD","VENCOD","REMPED","REMFACNUM","CLICOD","REMPAGNUM","REMLIQNUM","REMDES","REMFACLET","REMEMI","REMFACPV","","","","","","","",""
"8808","20190208","1","Q","146","0","0","1164","6548","0","0","","E","NaN","","","","","","","",""
"8809","20190208","1","Q","146","0","0","1164","6548","0","0","","E","NaN","","","","","","","",""
"8810","20190211","1","Q","145","0","0","37","6330","0","0","","E","NaN","","","","","","","",""
"8811","20190211","1","Q","4","0","0","1471","6117","0","0","","E","NaN","","","","","","","",""
"8812","20190211","1","Q","4","0","0","1238","6116","0","0","","E","NaN","","","","","","","",""
"8813","20190211","1","Q","4","0","0","1238","6116","0","0","","E","NaN","","","","","","","",""
"8814","20190211","1","Q","147","0","0","104","6260","0","0","","E","NaN","","","","","","","",""
"8815","20190211","1","Q","25","0","0","1022","6233","0","0","","E","NaN","","","","","","","",""
"8816","20190211","1","Q","146","0","0","1586","6287","0","0","","E","NaN","","","","","","","",""
"8817","20190211","1","Q","146","0","0","1586","6287","0","0","","E","NaN","","","","","","","",""
"8818","20190211","1","Q","4","0","0","1","6046","0","0","","E","NaN","","","","","","","",""
"8819","20190211","1","Q","4","0","0","1443","6115","0","0","","E","NaN","","","","","","","",""
"8820","20190211","1","Q","20","0","0","313","6263","0","0","","E","NaN","","","","","","","",""
"8821","20190211","1","Q","20","0","0","313","6263","0","0","","E","NaN","","","","","","","",""
"8822","20190212","1","Q","145","0","0","946","6216","0","0","","E","NaN","","","","","","","",""
"8823","20190212","1","Q","144","0","0","1679","6061","0","0","","E","NaN","","","","","","","",""
"8824","20190212","1","Q","144","0","0","1679","6061","0","0","","E","NaN","","","","","","","",""
"8825","20190212","1","Q","4","0","0","1443","6115","0","0","","E","NaN","","","","","","","",""
"8826","20190212","1","Q","4","0","0","1443","6115","0","0","","E","NaN","","","","","","","",""
"8827","20190212","1","Q","143","0","0","1547","6181","0","0","","E","NaN","","","","","","","",""
"8828","20190212","1","Q","143","0","0","1547","6181","0","0","","E","NaN","","","","","","","",""
"8829","20190212","1","Q","4","0","0","1471","6117","0","0","","E","NaN","","","","","","","",""
"8830","20190212","1","Q","4","0","0","1471","6117","0","0","","E","NaN","","","","","","","",""
"8831","20190212","1","Q","4","0","0","1238","6116","0","0","","E","NaN","","","","","","","",""
"8832","20190212","1","Q","4","0","0","1238","6116","0","0","","E","NaN","","","","","","","",""
"8833","20190212","1","Q","146","0","0","1706","6564","0","0","","E","NaN","","","","","","","",""
"8834","20190212","1","Q","146","0","0","1706","6959","0","0","","E","NaN","","","","","","","",""
"8835","20190213","1","Q","25","0","0","1044","6158","0","0","","E","NaN","","","","","","","",""
"8836","20190213","1","Q","146","0","0","1562","6561","0","0","","E","NaN","","","","","","","",""
"8837","20190213","1","Q","146","0","0","1562","6561","0","0","","E","NaN","","","","","","","",""
"8838","20190213","1","Q","146","0","0","1580","6279","0","0","","E","NaN","","","","","","","",""
"8839","20190213","1","Q","146","0","0","1580","6279","0","0","","E","NaN","","","","","","","",""
"8840","20190213","1","Q","4","0","0","1443","6115","0","0","","E","NaN","","","","","","","",""
