"PAGNUM","REMNUM","","","","","","","",""
"6192","9108","","","","","","","",""
"6193","8953","","","","","","","",""
"6193","8954","","","","","","","",""
"6193","8955","","","","","","","",""
"6193","8956","","","","","","","",""
"6193","8972","","","","","","","",""
"6193","8977","","","","","","","",""
"6193","8978","","","","","","","",""
"6193","8996","","","","","","","",""
"6193","8997","","","","","","","",""
"6193","8998","","","","","","","",""
"6193","9005","","","","","","","",""
"6193","9013","","","","","","","",""
"6193","9014","","","","","","","",""
"6193","9032","","","","","","","",""
"6193","9033","","","","","","","",""
"6193","9047","","","","","","","",""
"6193","9056","","","","","","","",""
"6193","9068","","","","","","","",""
"6193","9078","","","","","","","",""
"6193","9079","","","","","","","",""
"6194","8900","","","","","","","",""
"6194","8901","","","","","","","",""
"6194","9072","","","","","","","",""
"6194","9073","","","","","","","",""
"6195","9129","","","","","","","",""
"6197","8692","","","","","","","",""
"6198","8437","","","","","","","",""
"6198","8438","","","","","","","",""
"6199","8975","","","","","","","",""
"6199","8976","","","","","","","",""
"6199","8983","","","","","","","",""
"6199","8984","","","","","","","",""
"6199","9003","","","","","","","",""
"6199","9004","","","","","","","",""
"6199","9064","","","","","","","",""
"6199","9065","","","","","","","",""
"6199","9117","","","","","","","",""
"6199","9118","","","","","","","",""
"6200","8776","","","","","","","",""
"6200","8777","","","","","","","",""
"6201","9138","","","","","","","",""
"6202","9163","","","","","","","",""
"6202","9164","","","","","","","",""
"6203","8910","","","","","","","",""
"6203","8965","","","","","","","",""
"6203","8966","","","","","","","",""
"6203","9049","","","","","","","",""
"6203","9050","","","","","","","",""
"6204","8898","","","","","","","",""
"6204","8899","","","","","","","",""
"6207","9173","","","","","","","",""
"6208","8981","","","","","","","",""
"6209","9139","","","","","","","",""
"6209","9140","","","","","","","",""
"6210","9147","","","","","","","",""
"6210","9148","","","","","","","",""
"6210","9160","","","","","","","",""
"6213","9189","","","","","","","",""
"6214","9175","","","","","","","",""
"6214","9176","","","","","","","",""
"6215","9174","","","","","","","",""
"6216","8822","","","","","","","",""
"6216","9010","","","","","","","",""
"6216","9011","","","","","","","",""
"6217","9202","","","","","","","",""
"6218","9185","","","","","","","",""
"6219","9204","","","","","","","",""
"6219","9205","","","","","","","",""
"6220","8467","","","","","","","",""
"6221","8662","","","","","","","",""
"6222","8673","","","","","","","",""
"6223","9134","","","","","","","",""
"6224","9218","","","","","","","",""
"6225","9213","","","","","","","",""
"6225","9214","","","","","","","",""
"6226","9083","","","","","","","",""
"6227","8853","","","","","","","",""
"6228","9009","","","","","","","",""
"6229","8396","","","","","","","",""
"6230","8918","","","","","","","",""
"6232","8931","","","","","","","",""
"6233","8815","","","","","","","",""
"6234","8963","","","","","","","",""
"6235","9220","","","","","","","",""
"6235","9221","","","","","","","",""
"6236","9198","","","","","","","",""
"6237","8767","","","","","","","",""
"6238","8713","","","","","","","",""
"6238","8714","","","","","","","",""
"6239","9088","","","","","","","",""
"6240","9224","","","","","","","",""
"6242","8930","","","","","","","",""
"6243","9241","","","","","","","",""
"6244","9249","","","","","","","",""
"6246","8209","","","","","","","",""
"6247","9256","","","","","","","",""
"6247","9257","","","","","","","",""
"6248","9282","","","","","","","",""
"6249","9074","","","","","","","",""
"6249","9075","","","","","","","",""
"6249","9235","","","","","","","",""
"6249","9236","","","","","","","",""
"6249","9247","","","","","","","",""
"6250","9266","","","","","","","",""
"6250","9267","","","","","","","",""
"6251","9273","","","","","","","",""
"6252","9260","","","","","","","",""
"6252","9261","","","","","","","",""
"6253","8756","","","","","","","",""
"6254","9161","","","","","","","",""
"6255","9020","","","","","","","",""
"6256","9120","","","","","","","",""
"6256","9123","","","","","","","",""
"6256","9124","","","","","","","",""
"6257","9114","","","","","","","",""
"6257","9219","","","","","","","",""
"6258","9069","","","","","","","",""
"6258","9070","","","","","","","",""
"6258","9165","","","","","","","",""
"6259","9275","","","","","","","",""
"6259","9276","","","","","","","",""
"6260","8814","","","","","","","",""
"6261","9246","","","","","","","",""
"6262","8881","","","","","","","",""
"6263","8820","","","","","","","",""
"6263","8821","","","","","","","",""
"6264","8982","","","","","","","",""
"6265","7927","","","","","","","",""
"6266","9368","","","","","","","",""
"6267","9007","","","","","","","",""
"6267","9008","","","","","","","",""
"6268","9062","","","","","","","",""
"6268","9063","","","","","","","",""
"6269","9125","","","","","","","",""
"6269","9126","","","","","","","",""
"6269","9232","","","","","","","",""
"6269","9233","","","","","","","",""
"6270","9201","","","","","","","",""
"6271","9380","","","","","","","",""
"6272","9372","","","","","","","",""
"6272","9373","","","","","","","",""
"6273","9098","","","","","","","",""
"6273","9099","","","","","","","",""
"6274","8939","","","","","","","",""
"6275","8726","","","","","","","",""
"6276","8740","","","","","","","",""
"6276","8741","","","","","","","",""
"6277","8518","","","","","","","",""
"6277","8519","","","","","","","",""
"6278","8802","","","","","","","",""
"6278","8803","","","","","","","",""
"6279","8838","","","","","","","",""
"6279","8839","","","","","","","",""
"6280","8168","","","","","","","",""
"6281","8220","","","","","","","",""
"6282","8337","","","","","","","",""
"6283","8620","","","","","","","",""
"6283","8621","","","","","","","",""
"6284","8727","","","","","","","",""
"6284","8728","","","","","","","",""
"6285","8730","","","","","","","",""
"6286","8798","","","","","","","",""
"6287","8816","","","","","","","",""
"6287","8817","","","","","","","",""
"6288","8969","","","","","","","",""
"6288","8970","","","","","","","",""
"6290","9381","","","","","","","",""
"6290","9382","","","","","","","",""
"6291","9127","","","","","","","",""
"6291","9128","","","","","","","",""
"6291","9143","","","","","","","",""
"6291","9144","","","","","","","",""
"6291","9157","","","","","","","",""
"6291","9168","","","","","","","",""
"6291","9179","","","","","","","",""
"6291","9180","","","","","","","",""
"6291","9192","","","","","","","",""
"6291","9193","","","","","","","",""
"6291","9211","","","","","","","",""
"6291","9225","","","","","","","",""
"6291","9226","","","","","","","",""
"6291","9230","","","","","","","",""
"6291","9231","","","","","","","",""
"6291","9239","","","","","","","",""
"6291","9240","","","","","","","",""
"6291","9253","","","","","","","",""
"6291","9271","","","","","","","",""
"6291","9272","","","","","","","",""
"6291","9277","","","","","","","",""
"6291","9278","","","","","","","",""
"6291","9294","","","","","","","",""
"6291","9295","","","","","","","",""
"6291","9301","","","","","","","",""
"6291","9319","","","","","","","",""
"6291","9320","","","","","","","",""
"6291","9336","","","","","","","",""
"6291","9337","","","","","","","",""
"6291","9359","","","","","","","",""
"6291","9370","","","","","","","",""
"6291","9371","","","","","","","",""
"6292","9130","","","","","","","",""
"6292","9133","","","","","","","",""
"6292","9167","","","","","","","",""
"6292","9177","","","","","","","",""
"6292","9178","","","","","","","",""
"6292","9197","","","","","","","",""
"6292","9208","","","","","","","",""
"6292","9215","","","","","","","",""
"6292","9216","","","","","","","",""
"6292","9228","","","","","","","",""
"6292","9229","","","","","","","",""
"6292","9237","","","","","","","",""
"6292","9238","","","","","","","",""
"6292","9252","","","","","","","",""
"6292","9270","","","","","","","",""
