"VENCOD","CLICOD","","","","","","","",""
"4","1259","","","","","","","",""
"4","1260","","","","","","","",""
"4","1261","","","","","","","",""
"4","1262","","","","","","","",""
"4","1263","","","","","","","",""
"4","333","","","","","","","",""
"4","1266","","","","","","","",""
"4","1267","","","","","","","",""
"4","1268","","","","","","","",""
"4","1269","","","","","","","",""
"4","1270","","","","","","","",""
"4","1265","","","","","","","",""
"4","1271","","","","","","","",""
"4","1272","","","","","","","",""
"4","1273","","","","","","","",""
"4","1274","","","","","","","",""
"4","1275","","","","","","","",""
"4","1276","","","","","","","",""
"4","1277","","","","","","","",""
"121","1279","","","","","","","",""
"112","1280","","","","","","","",""
"4","1281","","","","","","","",""
"138","1282","","","","","","","",""
"121","1283","","","","","","","",""
"4","1284","","","","","","","",""
"4","1285","","","","","","","",""
"4","1286","","","","","","","",""
"4","1287","","","","","","","",""
"4","1289","","","","","","","",""
"4","1290","","","","","","","",""
"4","409","","","","","","","",""
"4","1291","","","","","","","",""
"4","1292","","","","","","","",""
"4","1293","","","","","","","",""
"4","1294","","","","","","","",""
"4","1295","","","","","","","",""
"4","1297","","","","","","","",""
"4","1298","","","","","","","",""
"4","1299","","","","","","","",""
"4","1300","","","","","","","",""
"4","1302","","","","","","","",""
"139","1304","","","","","","","",""
"139","1305","","","","","","","",""
"139","1307","","","","","","","",""
"139","1308","","","","","","","",""
"4","1311","","","","","","","",""
"4","1312","","","","","","","",""
"4","1313","","","","","","","",""
"139","54","","","","","","","",""
"111","1314","","","","","","","",""
"139","66","","","","","","","",""
"139","1315","","","","","","","",""
"139","1316","","","","","","","",""
"139","1317","","","","","","","",""
"4","1318","","","","","","","",""
"139","1006","","","","","","","",""
"3","1319","","","","","","","",""
